year,stock_index,stock_perf,bond_index,bond_perf,infl_index,infl_change,stock_index_real,stock_perf_real,bond_index_real,bond_perf_real
1985,8803.26,61.36,1319.63,5.81,423.86,3.27,2076.92,56.24,311.34,2.46
1986,9658.27,9.71,1397.08,5.87,423.86,0,2278.64,9.71,329.61,5.87
1987,7003.98,-27.48,1467.9,5.07,432.19,1.97,1620.56,-28.88,339.64,3.04
1988,8657.62,23.61,1531.75,4.35,440.65,1.96,1964.75,21.24,347.61,2.35
1989,10613,22.59,1470.63,-3.99,462.68,5,2293.81,16.75,317.85,-8.56
1990,8563.13,-19.31,1488.72,1.23,487.23,5.31,1757.51,-23.38,305.55,-3.87
1991,10076.24,17.67,1610.8,8.2,512.59,5.2,1965.75,11.85,314.25,2.85
1992,11853.69,17.64,1804.42,12.02,530.16,3.43,2235.89,13.74,340.36,8.31
1993,17876.55,50.81,2038.63,12.98,543.41,2.5,3289.73,47.13,375.16,10.23
1994,16514.36,-7.62,2026.81,-0.58,545.74,0.43,3026.03,-8.02,371.39,-1.01
1995,20322.57,23.06,2275.7,12.28,556.28,1.93,3653.32,20.73,409.09,10.15
1996,24039.56,18.29,2398.13,5.38,560.74,0.8,4287.09,17.35,427.67,4.54
1997,37307.63,55.19,2534.07,5.67,562.97,0.4,6626.88,54.58,450.12,5.25
1998,43040.13,15.37,2678.67,5.71,562.97,0,7645.14,15.37,475.81,5.71
1999,48071.78,11.69,2666.88,-0.44,572.74,1.73,8393.36,9.79,465.64,-2.14
2000,53797.58,11.91,2758.34,3.43,581.29,1.49,9254.87,10.26,474.52,1.91
2001,41947.34,-22.03,2864.04,3.83,583.18,0.33,7192.87,-22.28,491.11,3.5
2002,31061.38,-25.95,3155.89,10.19,588.37,0.89,5279.18,-26.61,536.37,9.22
2003,37914.69,22.06,3222.98,2.13,591.87,0.59,6405.93,21.34,544.54,1.52
2004,40527.26,6.89,3357.53,4.17,599.75,1.33,6757.34,5.49,562.24,2.81
2005,54958.26,35.61,3463.31,3.15,605.79,1.01,9072.2,34.26,576.56,2.12
2006,66316.4,20.67,3460.68,-0.08,609.55,0.62,10879.58,19.92,571.45,-0.69
2007,66280.59,-0.05,3443.53,-0.5,621.76,2,10660.07,-2.02,558.58,-2.45
2008,43714.34,-34.05,3599.6,4.53,626.12,0.7,6981.74,-34.51,600.2,3.8
2009,53848,23.18,3830.06,6.4,627.89,0.28,8575.98,22.83,626.24,6.1
2010,55419.67,2.92,3969.87,3.65,631.16,0.52,8780.66,2.39,645.47,3.11
2011,51140.66,-7.72,4161.58,4.83,626.65,-0.71,8161.02,-7.06,696.09,5.58
2012,60204.01,17.72,4336.68,4.21,623.92,-0.43,9649.26,18.24,716.82,4.66
2013,75014.32,24.6,4280.27,-1.3,624.34,0.07,12014.93,24.52,695.31,-1.37
2014,84767.01,13,4571.99,6.82,622.29,-0.33,13621.76,13.37,756.77,7.17
2015,87034.69,2.68,4652.97,1.77,614.15,-1.31,14171.58,4.04,783.93,3.12
2016,85807.07,-1.41,4714.22,1.32,614.11,-0.01,13972.61,-1.4,795.39,1.32
2017,102898.34,19.92,4720.45,0.13,619.26,0.84,16616.35,18.92,788.49,-0.7
2018,94079.5,-8.57,4723.56,0.07,623.54,0.69,15087.93,-9.2,784.75,-0.62
2019,122862.42,30.59,4867.52,3.05,624.52,0.16,19672.96,30.39,807.39,2.89
2020,127555.71,3.82,4911.47,0.9,619.44,-0.81,20591.94,4.67,821.36,1.73
2021,157383.74,23.38,4821.84,-1.82,628.92,1.53,25024.35,21.52,794.22,-3.3
2022,131450.7,-16.48,4238.33,-12.1,646.69,2.83,20326.59,-18.77,678.93,-14.52
